group,model_A,model_B,total_pairs,acc_A,acc_B,p_A,r_A,f1_A,p_B,r_B,f1_B,b11,b10,b01,b00,statistic,p_value,exact,significant,conclusion
paragraph,v1_lstm,v2_transformer,5302,0.17144473783477931,0.12693323274236137,0.04674991994876721,0.09346991037131883,0.06232657417289221,0.008965738072366315,0.01792573623559539,0.011953041622198507,226,683,447,3946,48.8716814159292,2.732678803302812e-12,False,True,v1_lstm (better F1)
paragraph,v1_lstm,v3_gru,5302,0.17144473783477931,0.11788004526593739,0.04674991994876721,0.09346991037131883,0.06232657417289221,0.001280819724623759,0.002560819462227913,0.0017075773745997861,164,745,461,3932,66.40878938640132,3.664644184543177e-16,False,True,v1_lstm (better F1)
paragraph,v1_lstm,v3_lstm,5302,0.17144473783477931,0.11674839683138438,0.04674991994876721,0.09346991037131883,0.06232657417289221,0.0003202049311559398,0.0006402048655569782,0.00042689434364994653,158,751,461,3932,68.91171617161716,1.0297127118136266e-16,False,True,v1_lstm (better F1)
paragraph,v1_lstm,v3_transformer,5302,0.17144473783477931,0.12391550358355338,0.04674991994876721,0.09346991037131883,0.06232657417289221,0.006404098623118796,0.012804097311139564,0.008537886872998932,215,694,442,3951,55.458626760563384,9.544690464548189e-14,False,True,v1_lstm (better F1)
paragraph,v1_transformer,v2_gru,5302,0.11976612599019237,0.11788004526593739,0.002881844380403458,0.005761843790012804,0.0038420490928495195,0.001280819724623759,0.002560819462227913,0.0017075773745997861,532,103,93,4574,0.413265306122449,0.5203168005073666,False,False,No significant difference
paragraph,v1_transformer,v2_lstm,5302,0.11976612599019237,0.11712561297623539,0.002881844380403458,0.005761843790012804,0.0038420490928495195,0.0006404098623118795,0.0012804097311139564,0.0008537886872998931,537,98,84,4583,0.9285714285714286,0.3352344137959569,False,False,No significant difference
paragraph,v1_transformer,v2_transformer,5302,0.11976612599019237,0.12693323274236137,0.002881844380403458,0.005761843790012804,0.0038420490928495195,0.008965738072366315,0.01792573623559539,0.011953041622198507,540,95,133,4534,6.004385964912281,0.014270359436350405,False,True,v2_transformer (better F1)
paragraph,v1_transformer,v3_gru,5302,0.11976612599019237,0.11788004526593739,0.002881844380403458,0.005761843790012804,0.0038420490928495195,0.001280819724623759,0.002560819462227913,0.0017075773745997861,532,103,93,4574,0.413265306122449,0.5203168005073666,False,False,No significant difference
paragraph,v1_transformer,v3_lstm,5302,0.11976612599019237,0.11674839683138438,0.002881844380403458,0.005761843790012804,0.0038420490928495195,0.0003202049311559398,0.0006402048655569782,0.00042689434364994653,540,95,79,4588,1.293103448275862,0.25547681145449985,False,False,No significant difference
paragraph,v1_transformer,v3_transformer,5302,0.11976612599019237,0.12391550358355338,0.002881844380403458,0.005761843790012804,0.0038420490928495195,0.006404098623118796,0.012804097311139564,0.008537886872998932,523,112,134,4533,1.7926829268292683,0.18059961649392026,False,False,No significant difference
